epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
29,4829,,,288.55230712890625,42422912.0,722.7777099609375,0.5909526944160461,166.74093627929688
29,4829,113.576416015625,,,,,,
30,4849,,125.69825744628906,,,,,
30,4899,,103.35488891601562,,,,,
30,4949,,102.41071319580078,,,,,
30,4990,,,292.5188903808594,50721588.0,738.0379638671875,0.5926478505134583,169.05784606933594
30,4990,112.56855010986328,,,,,,
31,4999,,97.47109985351562,,,,,
31,5049,,107.64497375488281,,,,,
31,5099,,90.26412200927734,,,,,
31,5149,,96.75468444824219,,,,,
31,5151,,,307.63482666015625,49899132.0,768.640869140625,0.6110179424285889,178.10340881347656
31,5151,113.35263061523438,,,,,,
32,5199,,135.10092163085938,,,,,
32,5249,,122.92583465576172,,,,,
32,5299,,123.2902603149414,,,,,
32,5312,,,298.5165710449219,38950224.0,754.6836547851562,0.5910581350326538,164.2984619140625
32,5312,113.7855453491211,,,,,,
33,5349,,124.13197326660156,,,,,
33,5399,,126.52894592285156,,,,,
33,5449,,122.37234497070312,,,,,
33,5473,,,301.022216796875,48911600.0,759.1453857421875,0.599023163318634,175.42100524902344
33,5473,115.49201965332031,,,,,,
34,5499,,146.26861572265625,,,,,
34,5549,,130.74586486816406,,,,,
34,5599,,101.72795104980469,,,,,
34,5634,,,296.8741455078125,46018472.0,741.6092529296875,0.5886011123657227,167.48936462402344
34,5634,112.2629165649414,,,,,,
35,5649,,107.47039794921875,,,,,
35,5699,,119.8292465209961,,,,,
35,5749,,123.86591339111328,,,,,
35,5795,,,303.739013671875,44255180.0,762.1218872070312,0.5814084410667419,173.29505920410156
35,5795,115.00707244873047,,,,,,
36,5799,,97.84497833251953,,,,,
36,5849,,135.9843292236328,,,,,
36,5899,,83.50514221191406,,,,,
36,5949,,104.81377410888672,,,,,
36,5956,,,305.0810852050781,49144936.0,780.186279296875,0.5828113555908203,176.6222686767578
36,5956,113.8940200805664,,,,,,
37,5999,,76.22193145751953,,,,,
37,6049,,130.5964813232422,,,,,
37,6099,,77.26593017578125,,,,,
37,6117,,,302.72698974609375,39229888.0,757.729736328125,0.6081848740577698,167.34205627441406
37,6117,117.00149536132812,,,,,,
38,6149,,106.06116485595703,,,,,
38,6199,,75.67617797851562,,,,,
38,6249,,111.28993225097656,,,,,
38,6278,,,302.25250244140625,38646460.0,780.9637451171875,0.5781826972961426,168.26812744140625
38,6278,116.17335510253906,,,,,,
39,6299,,95.61691284179688,,,,,
39,6349,,97.69923400878906,,,,,
39,6399,,112.56763458251953,,,,,
39,6439,,,288.6223449707031,44774072.0,720.5526733398438,0.5832425951957703,158.23617553710938
39,6439,114.60047149658203,,,,,,
40,6449,,115.10693359375,,,,,
40,6499,,106.11088562011719,,,,,
40,6549,,102.51262664794922,,,,,
40,6599,,132.27952575683594,,,,,
40,6600,,,297.7751159667969,38297580.0,739.43359375,0.5917133688926697,169.57330322265625
40,6600,113.54966735839844,,,,,,
41,6649,,124.98230743408203,,,,,
41,6699,,86.33332061767578,,,,,
